titleId,titleType,originalTitle,runtimeMinutes,averageRating
tt0041090,movie,Adam's Rib,101,6.7
tt0069553,tvSeries,Adam's Rib,30,7.8
tt0106220,movie,Addams Family Values,94,7.5
tt0118556,movie,Addicted to Love,100,5
tt0122864,movie,Addicted to Love,87,5.1
tt1713439,movie,Addicted to Love,112,6.7
tt0357031,movie,Poco piÃ¹ di un anno fa,101,6.7
tt0115471,movie,Adrenalin: Fear the Rush,77,7.1
tt0197213,movie,Adorenarin doraibu,112,7.1
tt0092513,movie,Adventures in Babysitting,102,6.3
tt0033317,movie,Adventures of Captain Marvel,216,6.3
tt0246514,movie,Viktor Vogel - Commercial Man,108,8.1
tt0377340,movie,Aetbaar,152,8.1
tt0118564,movie,Affliction,114,7.2
tt0292894,movie,Affliction,45,7.4
tt1332644,movie,Yanggaw,95,6.2
tt13886688,movie,Affliction,90,6.5
tt4766342,movie,Affliction,70,6
tt0386273,movie,Afghan Stories,60,7.2
tt0088680,movie,After Hours,97,7.6
tt0096530,tvSeries,After Hours,30,5.9
tt0145598,tvSeries,After Hours,25,8.4
tt0341680,tvSeries,After Hours,30,7
tt0157007,movie,After Image,92,6.3
tt0165078,movie,Wandafuru raifu,119,7.3
tt2920656,movie,After Life,110,7.3
tt8398600,tvSeries,After Life,30,7.7
tt0244955,movie,After Stonewall,88,6.9
tt0060200,movie,Caccia alla volpe,103,6.1
tt0099411,movie,DespuÃ©s de la tormenta,105,8.2
tt0242410,movie,DespuÃ©s de la tormenta,95,3.6
tt5294966,movie,Umi yori mo mada fukaku,118,7.1
tt0367479,movie,After the Sunset,97,6.8
tt0027260,movie,After the Thin Man,112,6.8
tt0118566,movie,Afterglow,119,6.1
tt2187003,movie,Paanch Adhyay,113,7.4
tt0352143,movie,Aftermath: The Remnants of War,74,6.4
tt0098996,movie,Aftershock,91,5.1
tt1393746,movie,Tang shan da di zhen,135,9
tt1780762,movie,Aftershock,89,7.5
tt0014650,movie,Against All Odds,50,7.1
tt0086859,movie,Against All Odds,128,7.1
tt1183325,tvSeries,Against All Odds,60,8.7
tt0312329,movie,Against the Ropes,110,7
tt0313911,movie,Agent Cody Banks,102,7.8
tt0358349,movie,Agent Cody Banks 2: Destination London,100,8.1
tt0218080,movie,Agent Red,95,7.2
tt0098999,movie,Agneepath,174,8.8
tt1849718,movie,Agneepath,174,8.8
tt0160509,movie,Agnes Browne,92,7.7
tt0088683,movie,Agnes of God,98,7.9
tt0115484,movie,Agni Sakshi,142,8.8
tt0154120,movie,Agni Sakshi,151,7
tt0872301,tvSeries,Aa Megamisama,25,7.2
tt0265018,movie,Aa! Megamisama! The Movie,106,7.7
tt0364930,movie,Aileen: Life and Death of a Serial Killer,93,8.1
tt0099005,movie,Air America,113,5.6
tt0170873,tvSeries,Air America,60,7.1
tt0118570,movie,Air Bud,98,7.4
tt0140796,movie,Air Bud: Golden Receiver,90,7.9
tt0118571,movie,Air Force One,124,5.2
tt0318281,movie,Air Marshal,90,6.3
tt0109068,movie,Airheads,92,8.3
tt0083530,movie,Airplane II: The Sequel,85,7.5
tt0080339,movie,Airplane!,88,7.6
tt0065377,movie,Airport,137,8.1
tt0115087,tvSeries,Airport,30,6.2
tt8908164,movie,Airport,147,7
tt0418460,movie,Aitraaz,160,7.3
tt0278291,movie,Ajnabee,165,6.9
tt0112313,movie,Akele Hum Akele Tum,160,7
tt0094625,movie,Akira,124,7.8
tt5700962,movie,Akira,134,7.4
tt0036590,movie,Alaska,76,8.1
tt0115493,movie,Alaska,109,8.4
tt0132678,movie,Alaska,45,6
tt2290397,movie,Alaska,125,7
tt8040482,movie,Alaska,85,8.4
tt9875554,movie,Alaska,72,7.9
tt0115495,movie,Albino Alligator,94,6.6
tt0029850,movie,Aleksandr Nevskiy,112,6.5
tt0048937,movie,Alexander the Great,143,6.5
tt0081148,movie,O Megalexandros,210,5.9
tt0243559,movie,Sikandar,146,5.9
tt0480507,movie,Alexander the Great,80,8.8
tt1660303,movie,Alexander the Great,65,8.8
tt0029852,movie,Alexander's Ragtime Band,106,7.6
tt0060086,movie,Alfie,114,7.6
tt0060086,movie,Alfie,114,7.6
tt0375173,movie,Alfie,103,7.6
tt0375173,movie,Alfie,103,7.7
